*** Bill of Materials ***,,,,
* Note: Many of the resistors and capacitors do not have specific part numbers listed. Substitute with any that meet the value / footprint / voltage specs. *,,,,
* Suggest to use X5R/X7R capacitors or better. *,,,,
,,,,
Part No,Value,Footprint,Qty,Refs
???,100n/100V,C0805,2,"C17, C18"
CL10A104KA8NNNC,100n/25V,C0603,11,"C1,C10,C19,C38, C42, C43, C44, C47, C49, C50, C6"
???,1u/16V,C0603,8,"C11, C13, C16, C20, C22, C23, C39, C45"
???,10n/50V,C0603,3,"C24, C40, C46"
CRM188R61A106KE69D,10u/10V,C0603,1,C12
???,1n/50V,C0603,9,"C2, C3, C4, C5, C7, C25, C31, C34, C48"
GCM21BC72A105KE36L,1u/100V,C0805,5,"C8, C15, C28, C33, C36"
???,2.2n/50V,C0603,3,"C32, C35, C37"
???,330p/50V,C0603,1,C26
???,4.7u/6.3V,C0603,1,C41
???,4.7u/16V,C0805,2,"C29, C30"
GCM32DC72A475KE02L,4.7u/100V,C1210,2,"C9, C14"
???,47n/16V,C0603,1,C27
CL21B473KCCWPNC,47n/100V,C0805,1,C21
"PMEG4005CT,215",Dual Schottky 40V 500mA,SOT23,1,D1
SS1H10-E3/61T,Schottky 100V 1A,SMA,1,D2
LTST-C155GEKT,Red/Green LED,4-SMD,1,D3
"PMEG2020EJ,115",Schottky 20V 2A,SOD323F,1,D4
TPW4R50ANH,N-CH 100V 92A,8DSOP,6,"Q1, Q2, Q3, Q4, Q5, Q6"
AO3400A,N-CH 30V 6.7A,SOT23,2,"Q7, Q8"
NR6045T101M,100uH 800mA,6x6mm,1,L1
SRN3015-1R5Y,1.5uH 2.1A,3x3mm,1,L2
BLM18AG601SN1D,Ferrite Bead 600ohm,R0603,2,"FB1, FB2"
???,0R,R0603,1,R13
???,33R,R0603,2,"R1, R2"
???,330R,R0603,2,"R32, R34"
???,100k,R0603,2,"R15, R19"
???,10k,R0603,7,"R6, R7, R8, R9, R11, R33, R35"
???,1k,R0603,8,"R3, R4, R5, R14, R21, R24, R27, R31"
ERJ-M1WTF2M0U,0R002,R2512,3,"R18, R22, R28"
ERJ-3EKF2203V,220k,R0603,1,R16
???,22k,R0603,3,"R23, R26, R30"
???,4.02k,R0603,2,"R20, R25"
???,4.99k,R0603,1,R10
???,73.2k,R0603,1,R29
???,8.2k,R0603,1,R17
ERT-J1VR103J,NTC Thermistor 10k,R0603,1,TH1
B5B-XH-A(LF)(SN),5 pin JST XH,B5B-XH-A(LF)(SN),1,J1
10118193-0001LF,USB Micro B THT,10118193-0001LF,1,J2
B3B-XH-A(LF)(SN),3 pin JST XH,B3B-XH-A(LF)(SN),1,J3
BM05B-SRSS-TB(LF)(SN),5 pin JST SR,BM05B-SRSS-TB(LF)(SN),1,J7
B4B-XH-A(LF)(SN),4 pin JST XH,B4B-XH-A(LF)(SN),2,"J8, J9"
AP1117E33G-13,LDO 18Vin 3.3Vout 1.1A,SOT223,1,U2
DRV8353RSRGZT,Three phase driver,48QFN,1,U3
STM32G473CET6,MCU Arm Cortex-M4,48LQFP,1,U4
TPS563240DDCT,Buck Reg Adj 3A 17Vin,SOT23-6,1,U5
